keywords,title keywords,topic
Adaptation Fund,adaptation,Adaptation
national adaptation plan,adaptation,Adaptation
adaptation action,adaptation,Adaptation
Adaptation Committee,adaptation,Adaptation
adaptation planning,adaptation,Adaptation
national adaptation,adaptation,Adaptation
enhanced action on adaptation,adaptation,Adaptation
official development assistance,adaptation,Adaptation
LDCs and SIDS,adaptation,Adaptation
capacity building,adaptation,Adaptation
implementation of adaptation actions,adaptation,Adaptation
risk management,adaptation,Adaptation
adaptation needs,adaptation,Adaptation
vulnerable countries,adaptation,Adaptation
most vulnerable countries,adaptation,Adaptation
adaptation technologies,adaptation,Adaptation
NAP process,adaptation,Adaptation
Local Adaptation,adaptation,Adaptation
adaptation framework,adaptation,Adaptation
Resilience,adaptation,Adaptation
Articles 4.8,"adverse effect, response measure, Article 4.8, Article 3.14, adverse impact",Adverse Effects & Response Measure
adverse effects,"adverse effect, response measure, Article 4.8, Article 3.14, adverse impact",Adverse Effects & Response Measure
effect of climate change,"adverse effect, response measure, Article 4.8, Article 3.14, adverse impact",Adverse Effects & Response Measure
response measures,"adverse effect, response measure, Article 4.8, Article 3.14, adverse impact",Adverse Effects & Response Measure
Article 3.14,"adverse effect, response measure, Article 4.8, Article 3.14, adverse impact",Adverse Effects & Response Measure
Article 2.3,"adverse effect, response measure, Article 4.8, Article 3.14, adverse impact",Adverse Effects & Response Measure
adverse impacts,"adverse effect, response measure, Article 4.8, Article 3.14, adverse impact",Adverse Effects & Response Measure
AGBM,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
Berlin Mandate,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
AOSIS protocol,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
global warming potential,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
Sulfur hexafluoride,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
methane,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
Coal,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
emission limitation,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
Uncertainties,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
common but differentiated responsibilities,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
Emission factor,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
N20,"Berlin Mandate, AGBM, AOSIS protocol",Pre-Kyoto
additionality,"CDM, joint implementation",Flexibility Mechanisms
CDM project,"CDM, joint implementation",Flexibility Mechanisms
certified emission reductions,"CDM, joint implementation",Flexibility Mechanisms
CDM Executive Board,"CDM, joint implementation",Flexibility Mechanisms
Leakage,"CDM, joint implementation",Flexibility Mechanisms
joint implementation,"CDM, joint implementation",Flexibility Mechanisms
operational entities,"CDM, joint implementation",Flexibility Mechanisms
CCS,"CDM, joint implementation",Flexibility Mechanisms
commitment period reserve,"CDM, joint implementation",Flexibility Mechanisms
Transaction Cost,"CDM, joint implementation",Flexibility Mechanisms
emission reduction units,"CDM, joint implementation",Flexibility Mechanisms
carbon capture and storage,"CDM, joint implementation",Flexibility Mechanisms
JI projects,"CDM, joint implementation",Flexibility Mechanisms
Nuclear,"CDM, joint implementation",Flexibility Mechanisms
CDM and JI,"CDM, joint implementation",Flexibility Mechanisms
assigned amounts units,"CDM, joint implementation",Flexibility Mechanisms
CDM Reference Manual,"CDM, joint implementation",Flexibility Mechanisms
JI Supervisory Committee,"CDM, joint implementation",Flexibility Mechanisms
CMP,"CDM, joint implementation",Flexibility Mechanisms
Emission trading,"CDM, joint implementation",Flexibility Mechanisms
Carbon offset,"CDM, joint implementation",Flexibility Mechanisms
CDM EB,"CDM, joint implementation",Flexibility Mechanisms
administrative costs,"CDM, joint implementation",Flexibility Mechanisms
AIJ pilot,"CDM, joint implementation",Flexibility Mechanisms
Enhanced Oil Recovery,"CDM, joint implementation",Flexibility Mechanisms
eligibility criteria,"CDM, joint implementation",Flexibility Mechanisms
Kyoto mechanisms,"CDM, joint implementation",Flexibility Mechanisms
International Emissions Trading Association,"CDM, joint implementation",Flexibility Mechanisms
Sequestration,"CDM, joint implementation",Flexibility Mechanisms
carbon dioxide storage,"CDM, joint implementation",Flexibility Mechanisms
trading scheme,"CDM, joint implementation",Flexibility Mechanisms
greenhouse gas concentrations,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
climate system,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
temperature change,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
Surface temperature,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
Representative Concentration Pathways,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
cumulative CO2 emissions,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
anthropogenic CO2 emissions,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
temperature increase,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
anthropogenic GHG emissions,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
atmosphere,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
ppm CO2eq,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
concentrations of greenhouse gases,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
Aerosols,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
Models,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
emission scenarios,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
carbon emission,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
scenarios,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
stabilization scenarios,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
global greenhouse gas emissions,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
Anthropogenic Global Warming,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
CO2-equivalent,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
Thermohaline circulation,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
Climate response,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
temperature,"climate system, temperature, Greenhouse gas",Anthropogenic Interference with Climate System
second commitment period,"further commitments, commitment periods",Extension of the Kyoto protocol
commitment periods,"further commitments, commitment periods",Extension of the Kyoto protocol
major emitters,"further commitments, commitment periods",Extension of the Kyoto protocol
further commitments,"further commitments, commitment periods",Extension of the Kyoto protocol
surplus AAUs,"further commitments, commitment periods",Extension of the Kyoto protocol
five-year commitment period,"further commitments, commitment periods",Extension of the Kyoto protocol
subsequent commitment period,"further commitments, commitment periods",Extension of the Kyoto protocol
possible gap,"further commitments, commitment periods",Extension of the Kyoto protocol
slow progress,"further commitments, commitment periods",Extension of the Kyoto protocol
climate change regime,"further commitments, commitment periods",Extension of the Kyoto protocol
first commitment period,"further commitments, commitment periods",Extension of the Kyoto protocol
Protocol amendment,"further commitments, commitment periods",Extension of the Kyoto protocol
post-2012 regime,"further commitments, commitment periods",Extension of the Kyoto protocol
eight-year commitment period,"further commitments, commitment periods",Extension of the Kyoto protocol
compliance system,"compliance, enforcement",Compliance and Enforcement
binding consequences,"compliance, enforcement",Compliance and Enforcement
compliance body,"compliance, enforcement",Compliance and Enforcement
enforcement branch,"compliance, enforcement",Compliance and Enforcement
facilitative branch,"compliance, enforcement",Compliance and Enforcement
compliance enforcement,"compliance, enforcement",Compliance and Enforcement
multilateral consultative process,"compliance, enforcement",Compliance and Enforcement
Compliance Committee,"compliance, enforcement",Compliance and Enforcement
demonstrable progress,"compliance, enforcement",Compliance and Enforcement
consequences of non-compliance,"compliance, enforcement",Compliance and Enforcement
